Latitude,Longitude,Vehicles Nearby,Required Chargers,Elevation,County
38.449137,-122.793752,3878,61,24,Sonoma County
38.881183,-121.169014,717,12,159,Placer County
37.7249429,-122.3939216,31608,487,9,San Francisco County
34.2708514,-119.170721,3000,11,65,Ventura County
34.1927085,-118.5715064,22685,318,246,Los Angeles County
34.150212,-119.127729,1232,18,6,Ventura County
37.952844,-122.381974,3647,53,2,Contra Costa County
39.1868911,-120.1104969,72,2,2048,Placer County
33.765639,-117.790075,24990,354,87,Orange County
33.9888385,-118.293159,26809,413,55,Los Angeles County
34.297699,-119.014558,119,2,239,Ventura County
38.6798655,-121.229027,7472,115,70,Sacramento County
37.554298,-122.496632,1686,25,182,San Mateo County
33.692217,-116.341248,2763,44,416,Riverside County
33.8556925,-118.1667143,9946,134,19,Los Angeles County
34.2034285,-118.2986959,18889,232,493,Los Angeles County
37.0890844,-122.0892896,2627,42,195,Santa Cruz County
37.861625,-120.480322,33,1,366,Tuolumne County
34.899991,-116.654532,9,1,556,San Bernardino County
38.3346278,-123.0496156,181,3,85,Sonoma County
34.7727,-118.791975,18,1,1050,Los Angeles County
34.0231421,-118.0369225,10989,162,278,Los Angeles County
33.7353335,-116.6960429,44,1,1670,Riverside County
36.76886,-119.762393,2287,10,98,Fresno County
38.512787,-121.493618,6084,86,7,Sacramento County
40.3018006,-121.0008794,13,1,1731,Lassen County
38.628217,-123.160834,34,1,268,Sonoma
36.5458801,-121.9275261,1654,8,55,Monterey County
