Vehicles Nearby,Vehicles Nearby.1,Required Chargers,DC Fast Count,vehiclesToBeCharged,text,label,Utilization Rate
1421.0,1421.0,23.0,1,1536.0,,1,108.09289232934553
1522.0,1522.0,24.0,1,1600.0,,1,105.12483574244416
502.0,502.0,8.0,3,704.0,,0,140.2390438247012
599.0,599.0,1.0,3,256.0,,2,42.73789649415693
57.0,57.0,1.0,4,320.0,,3,561.4035087719298
585.0,585.0,7.0,4,704.0,,0,120.34188034188034
391.0,391.0,7.0,1,512.0,,0,130.9462915601023
191.0,191.0,3.0,4,448.0,,3,234.5549738219895
212.0,212.0,3.0,1,256.0,,0,120.75471698113208
531.0,531.0,9.0,3,768.0,,0,144.63276836158192
20991.0,20991.0,324.0,3,20928.0,,1,99.69987137344576
7138.0,7138.0,83.0,1,5376.0,,4,75.31521434575511
246.0,246.0,4.0,3,448.0,,3,182.11382113821136
7047.0,7047.0,102.0,4,6784.0,,1,96.26791542500355
73.0,73.0,2.0,4,384.0,,3,526.0273972602739
35.0,35.0,1.0,6,448.0,,3,1280.0
3223.0,3223.0,51.0,4,3520.0,,1,109.21501706484642
336.0,336.0,6.0,1,448.0,,0,133.33333333333331
1141.0,1141.0,18.0,20,2432.0,,3,213.14636283961437
288.0,288.0,5.0,10,960.0,,3,333.33333333333337
8731.0,8731.0,114.0,8,7808.0,,4,89.4284732562135
11893.0,11893.0,171.0,18,12096.0,,1,101.70688640376693
1109.0,1109.0,6.0,20,1664.0,,3,150.04508566275925
958.0,958.0,3.0,12,960.0,,1,100.20876826722338
667.0,667.0,11.0,24,2240.0,,3,335.832083958021
23801.0,23801.0,330.0,16,22144.0,,1,93.03810764253603
166.0,166.0,3.0,8,704.0,,3,424.0963855421687
1978.0,1978.0,31.0,5,2304.0,,0,116.48129423660262
2482.0,2482.0,35.0,20,3520.0,,0,141.8211120064464
78.0,78.0,2.0,16,1152.0,,3,1476.923076923077
11216.0,11216.0,155.0,12,10688.0,,1,95.29243937232525
701.0,701.0,11.0,24,2240.0,,3,319.5435092724679
805.0,805.0,13.0,12,1600.0,,3,198.75776397515529
