Station ID,Latitude,Longitude,DC Fast Count,City,ZIP,County
315806,34.227829,-119.155509,1,Oxnard,93036,Ventura County
316168,35.067935,-118.17542,20,Mojave,93501,Kern County
316175,32.9083937,-117.1720634,6,San Diego,92121,San Diego County
316477,33.15302,-117.33436,6,Carlsbad,92008,San Diego County
316641,37.77158,-122.50907,4,San Francisco,94121,San Francisco County
316741,37.50333,-121.979036,2,Fremont,94538,Alameda County
316788,38.020409,-121.942271,1,Bay Point,94565,Contra Costa County
316800,38.020425,-121.94232,1,Bay Point,94565,Contra Costa County
316899,34.241353,-116.9168,6,Big Bear Lake,92315,San Bernardino County
318034,38.361542,-122.724478,1,Rohnert Park,94928,Sonoma County
318171,33.618223,-117.7337,16,Laguna Hills,92653,Orange County
318176,37.706368,-121.935006,12,Dublin,94568,Alameda County
319615,36.205392,-121.132899,1,King City,93930,Monterey County
319657,35.400342,-119.397886,1,Buttonwillow,93206,Kern County
319659,35.400311,-119.398201,1,Buttonwillow,93206,Kern County
319660,35.400329,-119.398176,1,Buttonwillow,93206,Kern County
319661,35.400408,-119.39806,1,Buttonwillow,93206,Kern County
319662,35.40036,-119.398125,1,Buttonwillow,93206,Kern County
319663,35.40038,-119.398098,1,Buttonwillow,93206,Kern County
319664,35.400443,-119.398015,1,Buttonwillow,93206,Kern County
319729,38.3470071,-122.7057627,4,Rohnert Park,94928,Sonoma County
319837,39.32534986702231,-120.22238332779727,1,Truckee,96161,Nevada County
319926,37.9256598,-122.5184926,1,Corte Madera,94925,Marin County
319927,37.9256944,-122.5184926,1,Corte Madera,94925,Marin County
319928,37.9257386,-122.5183528,1,Corte Madera,94925,Marin County
319929,37.9257381,-122.5183162,1,Corte Madera,94925,Marin County
319930,37.9257354,-122.5182877,1,Corte Madera,94925,Marin County
319931,37.9257338,-122.5182518,1,Corte Madera,94925,Marin County
319951,38.24024,-121.98911,2,Suisun City,94585,Solano County
320145,33.991046,-117.925274,12,City of Industry,91748,Los Angeles County
320146,40.578941,-122.35942,44,Redding,96002,Shasta County
320318,33.675552,-117.65941,1,Lake Forest,92610,Orange County
320331,37.785597,-122.396305,1,San Francisco,94107,
320332,37.785522,-122.396019,1,San Francisco,94107,
320393,35.58998,-120.69481,1,Paso Robles,93446,San Luis Obispo County
320436,35.590072,-120.694817,1,Paso Robles,93446,San Luis Obispo County
320474,38.5171057,-119.480812,4,Coleville,96107,Mono County
320697,34.40008,-118.91608,2,Fillmore,93015,Ventura County
320865,34.138731,-118.131125,4,Pasadena,91106,Los Angeles County
321004,33.789089,-118.140275,4,Long Beach,90804,Los Angeles County
321024,38.020529,-121.942285,1,Pittsburg,94565,Contra Costa County
321025,38.020629,-121.942223,1,Pittsburg,94565,Contra Costa County
321139,37.7000242,-121.8710063,12,Pleasanton,94588,Alameda County
321145,33.887762,-117.813759,8,Yorba Linda,92886,Orange County
321146,32.803991,-117.009086,12,San Diego,92119,San Diego County
321148,38.365253,-121.967965,12,Vacaville,95688,Solano County
321149,38.854812,-120.013797,8,South Lake Tahoe,96150,El Dorado County
321152,35.61681629,-119.6560425,20,Lost Hills,93249,Kern County
321156,37.636131,-118.967464,12,Mammoth Lakes,93546,Mono County
321323,37.8521253,-122.2889822,8,Berkeley,94710,Alameda County
321439,34.470115,-117.312844,1,Hesperia,92345,San Bernardino County
321440,34.470448,-117.312751,1,Hesperia,92345,San Bernardino County
322154,38.00317,-121.73352,4,Oakley,94561,Contra Costa County
322286,33.1700099,-117.2189425,20,Vista,92081,San Diego County
322292,38.6604909,-121.3291411,8,Sacramento,95841,Sacramento County
322322,38.362054,-122.724314,1,Rohnert Park,94928,Sonoma County
322324,38.362037,-122.724324,1,Rohnert Park,94928,Sonoma County
322331,41.309818,-122.316536,2,Mount Shasta,96067,Siskiyou County
322350,34.20239,-119.12647,4,Oxnard,93030,Ventura County
322481,34.014503,-118.237907,1,Vernon,90058,Los Angeles County
322482,34.01438,-118.238108,1,Vernon,90058,Los Angeles County
322483,34.014385,-118.238088,1,Vernon,90058,Los Angeles County
322484,34.014426,-118.238047,1,Vernon,90058,Los Angeles County
322485,34.014444,-118.238026,1,Vernon,90058,Los Angeles County
322486,34.014458,-118.238006,1,Vernon,90058,Los Angeles County
322487,34.014472,-118.237985,1,Vernon,90058,Los Angeles County
322488,34.014481,-118.237958,1,Vernon,90058,Los Angeles County
322489,34.014405,-118.238069,1,Vernon,90058,Los Angeles County
