Station ID,Latitude,Longitude,DC Fast Count,City,ZIP
150203,38.297148,-122.302474,20,Napa,94558
150204,38.459409,-122.730226,20,Santa Rosa,95401
150206,37.423395,-122.198224,18,Menlo Park,94025
150208,37.441734,-122.170202,20,Palo Alto,94304
150221,40.182245,-122.22754,8,Red Bluff,96080
150226,33.679646,-117.174147,20,Menifee,92584
150281,33.773298,-117.992257,1,Garden Grove,92844
150325,33.45483,-117.60665,3,San Clemente,92673
150357,33.99637,-118.42726,4,Los Angeles,90066
150384,35.6306,-120.6921,4,Paso Robles,93446
150385,33.80912,-118.28686,3,Carson,90745
150386,34.14244,-118.23379,3,Glendale,91205
150477,37.78958,-122.28003,6,Alameda,94501
150479,33.76059,-117.83594,3,Santa Ana,92705
150780,37.372,-122.107,2,Los Altos,94024
150802,37.29978,-121.98169,3,San Jose,95129
150806,32.58078,-117.03404,3,San Diego,92154
150821,39.155648,-122.149301,12,Williams,95987
151914,34.148,-118.145,1,Pasadena,91101
151969,34.42454,-117.37148,10,Hesperia,92345
151970,37.37368,-118.39343,4,Bishop,93514
151971,33.85652,-118.00085,6,Buena Park,90621
151972,34.19998,-118.37007,3,Burbank,91505
151978,37.426391,-120.785835,2,Delhi,95315
152021,34.22593,-119.156079,2,Oxnard,93036
152025,34.394644,-118.925015,1,Fillmore,93015
152069,34.059133,-118.248589,2,Los Angeles,90012
152075,34.04684,-118.237458,2,Los Angeles,90012
152120,37.02431,-121.56286,8,Gilroy,95020
152121,39.52549,-122.21859,4,Willows,95988
152155,34.109854,-118.252525,2,Los Angeles,90039
152370,34.144894,-118.14673,19,Pasadena,91105
152395,35.13678,-120.62934,4,Pismo Beach,93449
152396,39.31959,-120.20852,4,Truckee,96161
152433,34.034955,-117.306913,1,Grand Terrace,92313
152513,32.8046,-117.11514,3,San Diego,92123
152556,34.10057,-118.327339,3,Los Angeles,90028
152568,33.759311,-118.078566,1,Seal Beach,90740
152716,32.623022,-116.96711,1,Chula Vista,91915
152856,37.527594793,-122.002632039,1,Newark,94560
152865,37.651926,-122.100304,1,Hayward,94545
152895,35.04536,-118.15599,4,Mojave,93501
153165,37.51092,-121.94216,3,Fremont,94539
153166,37.71528,-122.17783,3,San Leandro,94577
153167,37.38381,-121.99531,3,Sunnyvale,94085
153205,37.22859,-121.77614,3,San Jose,95119
153212,32.824786,-117.157551,2,San Diego,92111
153213,32.59578,-117.054443,2,Chula Vista,91911
153214,32.812833,-116.970214,2,El Cajon,92020
153240,37.69479,-122.08156,3,Castro Valley,94546
153241,37.56716,-122.02416,3,Fremont,94536
153410,37.156369,-121.653476,14,Morgan Hill,95037
153412,37.8952,-122.061872,24,Walnut Creek,94596
153419,39.167745,-120.144472,6,Tahoe City,96145
153425,34.144942,-118.146714,24,Pasadena,91105
153433,33.805037,-117.882372,16,Anaheim,92806
153445,33.918134,-118.353235,12,Hawthorne,90250
153453,33.860439,-117.995611,24,Buena Park,90621
153521,37.75304,-121.47246,4,Tracy,95304
153565,37.60423,-122.06859,3,Union City,94587
153690,40.886352,-122.385081,1,Lakehead-Lakeshore,96051
153726,37.44208,-122.16977,6,Palo Alto,94304
153824,37.047275,-122.027939,16,Scott's Valley,95066
153875,38.05044,-121.3767,8,Stockton,95219
153876,33.95418,-118.18774,3,South Gate,90280
153881,37.655161,-122.401383,20,South San Francisco,94080
153897,36.22745,-119.32921,4,Tulare,93274
153898,34.44415,-118.57715,6,Santa Clarita,91355
154187,40.77697,-124.19025,4,Eureka,95501
154188,37.24593,-121.88928,3,San Jose,95118
154202,38.768137,-121.263608,20,Roseville,95678
154203,33.939778,-117.282651,16,Riverside,92507
154266,34.080257,-118.102656,4,San Gabriel,91776
154267,34.077697,-118.123275,2,Alhambra,91801
154268,34.102558,-118.334349,3,Los Angeles,90028
154345,37.79966,-122.25313,3,Oakland,94606
154392,34.036283,-118.098631,2,Monterey Park,91755
154418,38.557442,-121.335459,1,Sacramento,95827
154654,37.384776,-122.10123,1,Los Altos,94022
154655,37.39641,-122.117962,4,Los Altos,94022
154665,36.325736,-119.391783,2,Visalia,93277
154667,34.036128,-118.231784,1,Los Angeles,90021
154710,33.89048,-117.51769,4,Corona,92879
154711,36.71885,-121.65052,4,Salinas,93906
154798,33.557287,-117.668031,10,Mission Viejo,92691
154839,32.827884,-116.90042,1,El Cajon,92021
154846,34.88372,-116.99251,8,Barstow,92311
154847,36.80783,-119.70321,4,Clovis,93612
155128,34.101781,-118.339894,3,Hollywood,90028
155166,38.089474,-122.551745,20,Novato,94945
155167,37.837493,-122.295505,12,Emeryville,94608
155195,33.55726,-117.66801,4,Mission Viejo,92691
155270,33.932004,-117.278618,3,Moreno Valley,92507
155381,33.73086,-116.382111,1,Palm Desert,92260
155419,33.176771,-117.352445,1,Oceanside,92054
155519,37.624584,-122.12718,1,Hayward,94545
155557,33.83604,-117.93942,10,Anaheim,92801
155575,34.04963,-117.30764,6,Colton,92324
155576,37.83268,-122.27974,3,Emeryville,94608
155913,34.557498,-118.129131,4,Palmdale,93551
155914,34.103853,-118.291052,8,Los Angeles,90027
155915,34.044569,-118.452662,4,Los Angeles,90025
155916,34.097765,-118.353169,8,West Hollywood,90046
155990,37.755639,-121.141703,2,Ripon,95366
156072,33.923803,-117.561284,1,Norco,92860
156190,34.428831,-119.873382,12,Goleta,93117
156393,36.075856,-119.043996,22,Porterville,93257
157940,37.796024,-121.19773,12,Manteca,95336
157976,37.746162,-122.195179,16,Oakland,94621
157990,34.21794,-119.06452,10,Camarillo,93010
158481,41.529276,-124.038401,1,Klamath,95548
158652,37.898447,-122.308938,16,Richmond,94804
158666,34.120983,-117.210849,1,Highland,92346
158667,34.120588,-117.210721,1,Highland,92346
158673,33.785423,-117.889496,1,Orange,92868
